ID,BulkDensity_ml,BDDepth,Wood_chunks_inFF,Black_C_wgt_inFF,ForFloor_DryWgt,Litter_DryWgt,MinSoil_TinWgt,MinSoilAll_DryWgt,Coarse_frag_weight_W_tin,Root_wgt_inMin,Black_C_wgt_inMin,Litter_Wgt_inMin,MinSoil_N_PC,MinSoil_C_PC,MinSoil_Sand_PC_hyd,MinSoil_Silt_PC_hyd,MinSoil_Clay_PC_hyd,MinSoil_Sand_PC_h202_hyd,MinSoil_Silt_PC_h202_hyd,MinSoil_Clay_PC_h202_hyd,Litter_N_PC,Litter_C_PC,Litter_S_PC,ForFloor_N_PC,ForFloor_C_PC,ForFloor_S_PC
FR16,700,0.2,12.6,3.1,200.1,84.6,339.8,1308.7,794.7,0.399,0.291,0,0.139349446,3.165775776,40,40,20,NA,NA,NA,0.86,47,0.08,0.96,33,0.1
FR17,800,0.2,22.9,3.31,221.8,128.7,162.1,912.4,357,1.482,3.327,0.021,0.252407819,6.502990723,NA,NA,NA,18,26,56,0.71,48,0.074,0.84,40,0.088
FR18,900,0.2,18.9,12.8,305.9,158.7,162.5,1056.5,218.3,1.937,2.04,0,0.107809126,2.275648594,54,40,6.3,NA,NA,NA,0.62,47,0.06,1.1,39,0.1
FR19,1100,0.2,55.9,46.3,1082.7,124.2,355.5,2190.6,1703.2,4.138,1.922,0,0.129691109,3.084608078,NA,NA,NA,34,44,23,1.2,47,0.1,0.7,33,0.076
FR20,1000,0.2,49.6,20.3,874.2,241.1,352.2,1832.8,1559.2,2.412,0.447,0,0.197845876,3.893993378,NA,NA,NA,51,35,14,1.7,46,0.13,1.4,44,0.13
FR21,850,0.2,48.2,5.1,164.5,55.3,380.1,1194.6,750.2,1.55,3.117,0,0.368921548,6.731844902,NA,NA,NA,28,28,45,1.1,45,0.088,1.6,40,0.15
FR22,1200,0.2,109.3,34.3,481.6,61.1,357.1,1734,808.9,4.904,0.9,0,0.082627207,2.126506805,38,49,14,NA,NA,NA,0.72,47,0.072,0.84,38,0.079
FR23,850,0.2,38.6,28.2,403.9,156.2,27.2,723.4,314.3,3.126,5.601,0,0.293411165,8.307009697,NA,NA,NA,24,24,53,0.82,47,0.075,0.87,35,0.083
FR24,1100,0.2,9.9,1.1,102.9,136.5,409.3,1849.4,1100.4,4.273,1.227,0.008,0.148385763,3.183136225,NA,NA,NA,61,31,7.5,0.76,48,0.067,1.2,38,0.11
FR25,900,0.2,NA,NA,NA,17.4,403.5,1840,475.8,1.609,0.32,0.086,0.040741209,0.843276918,90,6.3,3.8,NA,NA,NA,0.35,45,0.045,NA,NA,NA
FR26,950,0.2,15.2,0,157,142.6,17.8,956.3,373.8,1.139,1.176,0.134,0.207795322,6.135267735,NA,NA,NA,38,30,33,0.34,47,0.042,0.98,42,0.099
FR27,850,0.2,2.3,1,72.4,39.4,351.6,1222.6,660,3.192,2.429,0,0.103235021,3.374857187,NA,NA,NA,49,39,13,1.3,47,0.096,1.2,37,0.095
FR28,1000,0.2,1.38,2.8,257.5,246.1,408.1,1695.5,993,4.473,0.829,0.008,0.138971016,3.083422661,NA,NA,NA,29,41,30,0.86,49,0.08,0.56,49,0.069
FR29,900,0.2,1.8,19.6,171.8,98.4,306.4,1469.9,730.4,3.885,0.546,0.004,0.076033689,1.745349526,71,23,6.3,NA,NA,NA,0.54,46,0.053,0.54,30,0.058
FR30,800,0.2,NA,NA,NA,73.9,17.6,1032.1,596.4,1.351,4.407,0,0.114724681,2.857633591,NA,NA,NA,48,35,18,0.38,36,0.038,NA,NA,NA
FR31,850,0.2,0.317,0,8.5,20.9,17.5,1181.7,722.9,3.286,0.543,0.02,0.124974668,3.084288359,NA,NA,NA,58,33,10,0.89,43,0.07,1.1,40,0.11
