Plot,Line #,Bearing (deg),Slope 1 (%),Slope dist. 1,Slope 2 (%),Slope dist. 2,Slope 3 (%),Slope dist. 3,Slope 4 (%),Slope dist. 4,Horizontal_dist,%slope1/100,squared,plus 1,square root,HD of segment 1,,%slope2/100,squared,plus 1,square root,HD of segment 2,,%slope3/100,squared,plus 1,square root,HD of segment 3,,%slope4/100,squared,plus 1,square root,HD of segment 4,,Horizontal distance: adj. line length
FR55,2,0,17,18,12,32,,,,,,0.17,0.0289,1.0289,1.014347081,17.74540524,,0.32,0.1024,1.1024,1.04995238,30.47757271,,0,0,1,1,0,,0,0,1,1,0,,48.22297795
FR56,1,20,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR56,2,290,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR57,1,260,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR57,2,350,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR58,1,110,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR58,2,200,0,44,8,6,,,,,,0,0,1,1,44,,0.08,0.0064,1.0064,1.003194896,5.980891671,,0,0,1,1,0,,0,0,1,1,0,,49.98089167
FR59,1,0,14,50,,,,,,,,0.14,0.0196,1.0196,1.009752445,49.51708733,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.51708733
FR59,2,90,10,50,,,,,,,,0.1,0.01,1.01,1.004987562,49.75185951,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.75185951
FR60,1,150,15,50,,,,,,,,0.15,0.0225,1.0225,1.011187421,49.44681764,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.44681764
FR60,2,240,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR61,1,80,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR61,2,170,13,50,,,,,,,,0.13,0.0169,1.0169,1.008414597,49.58278087,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.58278087
FR62,1,40,3,50,,,,,,,,0.03,0.0009,1.0009,1.000449899,49.97751518,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.97751518
FR62,2,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
FR63,1,190,7,50,,,,,,,,0.07,0.0049,1.0049,1.002447006,49.87794836,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.87794836
FR63,2,280,13,50,,,,,,,,0.13,0.0169,1.0169,1.008414597,49.58278087,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,49.58278087
FR64,1,130,0,50,,,,,,,,0,0,1,1,50,,0,0,1,1,0,,0,0,1,1,0,,0,0,1,1,0,,50
